ID,SurNum,Date,File1,Score1,File2,Score2
376466,49,22/10/2021 16:21,118035_gt.jpg,4,118035AF_12.jpg,2
319460,49,22/10/2021 16:21,239096_gt.jpg,5,239096AF_4.jpg,4
702193,49,22/10/2021 16:21,065019_gt.jpg,5,065019F_3.jpg,4
968370,49,22/10/2021 16:21,239096_gt.jpg,5,239096AF_4.jpg,4
319460,49,22/10/2021 16:21,198023I_1.jpg,4,198023_gt.jpg,5
376466,49,22/10/2021 16:21,151087AF_9.jpg,4,151087_gt.jpg,5
702193,49,22/10/2021 16:21,140075_gt.jpg,5,140075AG_4.jpg,3
319460,49,22/10/2021 16:21,056028AD_2.jpg,5,056028_gt.jpg,5
376466,49,22/10/2021 16:21,078019C_4.jpg,5,078019_gt.jpg,3
376466,49,22/10/2021 16:21,376001_gt.jpg,4,376001B_3.jpg,5
319460,49,22/10/2021 16:21,022093_gt.jpg,5,022093AF_1.jpg,5
968370,49,22/10/2021 16:21,198023I_1.jpg,4,198023_gt.jpg,5
702193,49,22/10/2021 16:21,187029_gt.jpg,5,187029AC_2.jpg,4
929087,49,22/10/2021 16:21,025098_gt.jpg,5,025098AC_1.jpg,3
376466,49,22/10/2021 16:21,015004_gt.jpg,5,015004D_3.jpg,1
968370,49,22/10/2021 16:21,056028AD_2.jpg,5,056028_gt.jpg,4
702193,49,22/10/2021 16:21,239096_gt.jpg,5,239096AF_4.jpg,3
376466,49,22/10/2021 16:22,065019_gt.jpg,4,065019F_3.jpg,4
184686,49,22/10/2021 16:22,022090AF_7.jpg,5,022090_gt.jpg,4
376466,49,22/10/2021 16:22,140075_gt.jpg,5,140075AG_4.jpg,3
929087,49,22/10/2021 16:22,046076_gt.jpg,5,046076B_4.jpg,3
702193,49,22/10/2021 16:22,198023I_1.jpg,3,198023_gt.jpg,5
376466,49,22/10/2021 16:22,187029_gt.jpg,3,187029AC_2.jpg,5
968370,49,22/10/2021 16:22,022093_gt.jpg,5,022093AF_1.jpg,4
376466,49,22/10/2021 16:22,239096_gt.jpg,4,239096AF_4.jpg,3
702193,49,22/10/2021 16:22,056028AD_2.jpg,3,056028_gt.jpg,5
376466,49,22/10/2021 16:22,198023I_1.jpg,3,198023_gt.jpg,5
376466,49,22/10/2021 16:22,056028AD_2.jpg,3,056028_gt.jpg,4
929087,49,22/10/2021 16:22,118035_gt.jpg,5,118035AF_12.jpg,3
184686,49,22/10/2021 16:22,118020F_4.jpg,3,118020_gt.jpg,3
702193,49,22/10/2021 16:22,022093_gt.jpg,5,022093AF_1.jpg,3
376466,49,22/10/2021 16:22,022093_gt.jpg,5,022093AF_1.jpg,4
184686,49,22/10/2021 16:22,153093B_1.jpg,1,153093_gt.jpg,5
875888,48,22/10/2021 16:22,118020AF_13.jpg,4,118020_gt.jpg,5
929087,49,22/10/2021 16:23,151087AF_9.jpg,5,151087_gt.jpg,4
